layer,mean_cos,sd_cos,stress_raw,stress1,one_leftmost,spearman_rho,spearman_p,pow_r2,pow_p,alpha,alpha_se,p_alpha_vs_1
10,0.9999122295562072,3.4785772305050634e-05,7.355999926637908e-06,0.4083092638980827,True,0.8844404440444044,3.3019873448938187e-34,0.6667656511046085,7.134497756382065e-24,0.7329886841408507,0.184774342879612,0.14843905115250702
11,0.9999141696503857,4.1077427807522975e-05,6.879806113054075e-06,0.3917963291478121,True,0.8806120612061205,1.4822101427708287e-33,0.6088361638614492,1.6958865076537677e-20,0.7397175898584916,0.21045768400895465,0.21618190477286015
12,0.9999171151509275,4.7025157899793546e-05,6.2829236144170705e-06,0.37385668215358814,True,0.6557335733573357,1.322151681944331e-13,0.3627852081831273,3.220057733407051e-10,0.13285636564925196,0.22293678583304133,0.00010039342005893562
13,0.999921922621642,4.792336226938194e-05,5.458513779947517e-06,0.3624792014204121,True,0.5987758775877587,4.699535075446496e-11,0.3183757608065956,8.451499275446715e-09,0.05056440503630258,0.23282539048108764,4.544687568535741e-05
14,0.9999273115664349,4.5300785787869563e-05,4.74265057160387e-06,0.36139748350542017,True,0.5753735373537353,3.8109175936026747e-10,0.3059230545991295,2.03361868204597e-08,0.013062478237605058,0.23403460261633185,2.4751019616526523e-05
15,0.9999328965661147,4.120068849752994e-05,4.0582130890917395e-06,0.3636269858636897,True,0.6467206720672065,3.637679494952056e-13,0.3419890713041245,1.5286416085216417e-09,0.1154564371589754,0.23052990291738854,0.0001245457566295848
16,0.999938456682027,3.720907616764303e-05,3.408778164114827e-06,0.3648913005286497,True,0.657017701770177,1.1414092260504536e-13,0.3527065417651216,6.89301254413063e-10,0.1257667154512123,0.22675734670584524,0.00011555511447004064
17,0.9999419746998854,3.446109115567981e-05,3.0482592543847045e-06,0.36770784044493776,True,0.6004320432043204,4.026493755560054e-11,0.3311060168480813,3.3871040310460724e-09,0.03284398847822161,0.22360414476357213,1.523213131756983e-05
18,0.9999448977233121,3.249367532371794e-05,2.743095308129998e-06,0.36799739045069435,True,0.6621542154215422,6.294526408860105e-14,0.36378059757673864,2.984936566031134e-10,0.11892123569414131,0.22031259768614914,6.355131989407301e-05
19,0.9999477774836504,3.098481954971599e-05,2.457536666875477e-06,0.3669408785488684,True,0.5972997299729972,5.3896889642361564e-11,0.33234186238981445,3.0965358602435235e-09,0.019379137107978523,0.22110071297191677,9.199654336798826e-06
20,0.9999496144458537,3.0152702615795933e-05,2.275569663464794e-06,0.3651453682882779,True,0.6556135613561355,1.3403921819066102e-13,0.36094392372468975,3.703735594253972e-10,0.09819418284276969,0.21854075358864058,3.683450688244854e-05
21,0.9999504823768673,2.9730411108847572e-05,2.1938149783682077e-06,0.36449484101974994,True,0.5972757275727572,5.401679673399493e-11,0.33502976733867074,2.546284475387464e-09,0.008191695735728154,0.21824925281319052,5.50962678065605e-06
22,0.9999510606856314,2.9260228036604114e-05,2.139445171097385e-06,0.36460697572029327,True,0.5972757275727572,5.401679673399493e-11,0.33741492659831473,2.139045021426543e-09,0.0039041686399590055,0.21654996997090595,4.228097796949731e-06
23,0.9999518336420975,2.9030171770869912e-05,2.0612504309578427e-06,0.3628527535498083,True,0.6512811281128111,2.189100442323448e-13,0.3604980638599836,3.831160869405189e-10,0.07827783968996968,0.21583437283599247,1.9502926019956144e-05
24,0.99995220443008,2.9114136138750663e-05,2.018995128514201e-06,0.3608699608847546,True,0.6482688268826882,3.064565471762499e-13,0.35812493372467236,4.585107585861956e-10,0.06925390839403595,0.21565213106230716,1.5891035528723776e-05
25,0.9999525085406937,2.9112755938663908e-05,1.984883212281662e-06,0.3594798926087661,True,0.597155715571557,5.46201950167043e-11,0.3358779349550933,2.393445912900551e-09,0.0008205177133903087,0.2171072960684627,4.179748665728933e-06
26,0.999952452459542,2.9303933844299216e-05,1.9824341005060644e-06,0.3583067923826897,True,0.6448004800480047,4.49347027585453e-13,0.3556916495149446,5.508677659293633e-10,0.05343776361412131,0.21455905496014302,1.0257970385240586e-05
27,0.9999520122385498,2.960167236833363e-05,2.009058184222652e-06,0.35730791660695516,True,0.6172577257725772,7.953441564099652e-12,0.34295837524547335,1.4231637145044506e-09,0.009050461122717431,0.2145270247820658,3.851678448382111e-06
28,0.9999517101794643,2.9784542230769157e-05,2.0268274678849678e-06,0.35665109981178417,True,0.6145454545454544,1.0397411865337051e-11,0.34348931856787124,1.3684443100375348e-09,0.0016641753878250385,0.21331183811666105,2.8663609597391922e-06
29,0.9999512596452873,2.9813314404443405e-05,2.060672190574812e-06,0.3571054292687207,True,0.6205460546054605,5.727484691313134e-12,0.34991527635864916,8.492647376113907e-10,0.0015603500928293,0.21044074321959813,2.0900459307716735e-06
30,0.9999509145081692,3.0032701121454774e-05,2.0815905576120004e-06,0.35636299527718057,True,0.6215661566156616,5.168806584057563e-12,0.3516517309814199,7.459423268281493e-10,0.0010090815803654788,0.20952544618777702,1.8618019618968829e-06
31,0.9999505443076803,3.020020020702854e-05,2.1047027721644864e-06,0.35584246168698125,True,0.5738253825382537,4.3516866534864857e-10,0.33789892180321734,2.0645638216512914e-09,0.00017559329102185767,0.19652303976315336,3.626835992544007e-07
32,0.9999494765936686,3.0969993002176154e-05,2.1836412164331965e-06,0.35442629431191075,True,0.6113171317131713,1.4255931361753965e-11,0.3523039652994391,7.104034382554811e-10,0.0002979551867785052,0.20873717199252062,1.6737567038813273e-06
33,0.9999462297199937,3.318394246688361e-05,2.4480477888033208e-06,0.3519568284182995,True,0.5673087308730872,7.550567072640577e-10,0.34408016737029623,1.3099719170152286e-09,0.0001642928840355068,0.20034163694795215,6.017533439661325e-07
34,0.9999428036268919,3.5456246188928754e-05,2.736858574454841e-06,0.3494161807886428,True,0.5769216921692168,3.335037625687837e-10,0.35523875786732195,5.699644641503301e-10,0.00013267690177130528,0.16377352577213583,1.026830497988911e-09
35,0.9999325903299939,4.2000060962418976e-05,3.7167636457188805e-06,0.34500998519004644,True,0.5468586858685868,3.946588952627375e-09,0.35658059684159105,5.151888367109226e-10,0.00011935821641116662,0.16134479819518766,5.748853472920866e-10
36,0.9475701629038993,0.029455435653000666,2.0775881151598985,0.3406687218057046,True,0.8198859885988599,1.7921111036779173e-25,0.6030072195760497,3.475013785455438e-20,0.0002578070461249323,0.12217138898732971,2.76605218404176e-16
