model,operation,n,mean_acc,sd_acc,r_surp_size,p_size,r_surp_logfreq,p_logfreq,r_surp_rawfreq,p_rawfreq,mean_surprisal
pythia-70m-deduped,Addition,8100,0.005185185185185185,0.07182129934622823,0.20354041367102282,1.7184605580799976e-76,0.037658523350801304,0.0006990628673626828,0.030619857933677604,0.0058511551021898376,5.400239438657407
pythia-70m-deduped,Division,8100,0.010493827160493827,0.10190047473893096,0.002853309243316756,0.7973650367564072,-0.01724716214638793,0.1206334012057854,-0.017976295029748974,0.10571700956552794,4.925149257330247
pythia-70m-deduped,Multiplication,8100,0.0004938271604938272,0.022216734576201463,0.6618611441211661,0.0,-0.35551934829638826,6.072786031226825e-240,-0.18161104545897083,5.134797637262209e-61,9.676024787808641
pythia-70m-deduped,Subtraction,8100,0.0,0.0,0.28468618888665764,7.392947420986528e-151,-0.1292687540990762,1.5859854281876202e-31,-0.11357710136994877,1.1407017300475902e-24,5.048187210648148
pythia-160m-deduped,Addition,8100,0.00037037037037037035,0.019241444752385983,0.16888515137946195,6.824688802050998e-53,0.08036925610246287,4.361676947025758e-13,0.047900692633417924,1.611469625142212e-05,5.265681664737654
pythia-160m-deduped,Division,8100,0.009259259259259259,0.09577852252582036,0.3981611920187376,6.667413579206505e-306,-0.0645290970790519,6.144343144407244e-09,-0.042494882449798724,0.00013041307744697108,5.085071855709876
pythia-160m-deduped,Multiplication,8100,0.0007407407407407407,0.027206470625491787,0.6309544579903186,0.0,-0.2607698179647551,4.944058015428689e-126,-0.1458697090080698,9.14326896719486e-40,9.167821180555556
pythia-160m-deduped,Subtraction,8100,0.00037037037037037035,0.01924144475238598,0.5008642705651719,0.0,-0.17809571610889124,1.0395256492264843e-58,-0.13154185236452529,1.356125456054792e-32,5.199514551986883
pythia-410m-deduped,Addition,8100,0.0,0.0,0.44070947613286554,0.0,-0.23874736431173885,2.3237730881556607e-105,-0.12671545243229854,2.3840652643418243e-30,4.863363715277778
pythia-410m-deduped,Division,8100,0.011728395061728396,0.10766076263432478,0.27669490104707134,2.784314925271991e-142,-0.050968314836954534,4.444723844645041e-06,-0.038104617481599136,0.0006032877966705169,5.207226140528549
pythia-410m-deduped,Multiplication,8100,0.0032098765432098763,0.05656477027078982,0.8792824568843014,0.0,-0.33748903575636263,6.010989014531764e-215,-0.17966685414954242,9.816482879122937e-60,8.537576316550926
pythia-410m-deduped,Subtraction,8100,0.0,0.0,0.40164174600201386,9.84415263104e-312,-0.2854501421123709,1.0814372447308482e-151,-0.2592863223179895,1.4177093217595452e-124,5.024723427854938
